Constrain;Pattern;par_inf;nrmse;color;Res_lvl;Frac;Min;Max;Range;rmse_full;rmse;rmse_range
ThickB;SL;ECB;1.45;145;7;0.22;1;100;99;18.889109;27.38920805;0.276658667
ThickB;SL;ECB;1.53;153;8;0.11;1;100;99;18.889109;28.90033677;0.291922594
ECC;SL;ECB;1;100;1;0.89;1;100;99;18.889109;18.889109;0.190799081
ECC;SL;ECB;0.99;99;2;0.78;1;100;99;18.889109;18.70021791;0.18889109
ECC;SL;ECB;0.98;98;3;0.67;1;100;99;18.889109;18.51132682;0.186983099
ECC;SL;ECB;0.99;99;4;0.56;1;100;99;18.889109;18.70021791;0.18889109
ECC;SL;ECB;1;100;5;0.44;1;100;99;18.889109;18.889109;0.190799081
ECC;SL;ECB;1.03;103;6;0.33;1;100;99;18.889109;19.45578227;0.196523053
ECC;SL;ECB;1.06;106;7;0.22;1;100;99;18.889109;20.02245554;0.202247026
ECC;SL;ECB;1.09;109;8;0.11;1;100;99;18.889109;20.58912881;0.207970998
ECA;SL;ThickB;0.99;99;1;0.89;0.05;2;1.95;0.489632;0.48473568;0.2485824
ECA;SL;ThickB;0.99;99;2;0.78;0.05;2;1.95;0.489632;0.48473568;0.2485824
ECA;SL;ThickB;0.98;98;3;0.67;0.05;2;1.95;0.489632;0.47983936;0.246071467
ECA;SL;ThickB;0.98;98;4;0.56;0.05;2;1.95;0.489632;0.47983936;0.246071467
ECA;SL;ThickB;0.98;98;5;0.44;0.05;2;1.95;0.489632;0.47983936;0.246071467
ECA;SL;ThickB;0.98;98;6;0.33;0.05;2;1.95;0.489632;0.47983936;0.246071467
ECA;SL;ThickB;0.98;98;7;0.22;0.05;2;1.95;0.489632;0.47983936;0.246071467
ECA;SL;ThickB;0.99;99;8;0.11;0.05;2;1.95;0.489632;0.48473568;0.2485824
ThickA;SL;ThickB;0.98;98;1;0.89;0.05;2;1.95;0.489632;0.47983936;0.246071467
ThickA;SL;ThickB;0.95;95;2;0.78;0.05;2;1.95;0.489632;0.4651504;0.238538667
ThickA;SL;ThickB;0.91;91;3;0.67;0.05;2;1.95;0.489632;0.44556512;0.228494933
ThickA;SL;ThickB;0.87;87;4;0.56;0.05;2;1.95;0.489632;0.42597984;0.2184512
ThickA;SL;ThickB;0.82;82;5;0.44;0.05;2;1.95;0.489632;0.40149824;0.205896533
ThickA;SL;ThickB;0.77;77;6;0.33;0.05;2;1.95;0.489632;0.37701664;0.193341867
ThickA;SL;ThickB;0.7;70;7;0.22;0.05;2;1.95;0.489632;0.3427424;0.175765333
ThickA;SL;ThickB;0.64;64;8;0.11;0.05;2;1.95;0.489632;0.31336448;0.160699733
ECB;SL;ThickB;0.99;99;1;0.89;0.05;2;1.95;0.489632;0.48473568;0.2485824
ECB;SL;ThickB;0.99;99;2;0.78;0.05;2;1.95;0.489632;0.48473568;0.2485824
ECB;SL;ThickB;0.97;97;3;0.67;0.05;2;1.95;0.489632;0.47494304;0.243560533
ECB;SL;ThickB;0.95;95;4;0.56;0.05;2;1.95;0.489632;0.4651504;0.238538667
ECB;SL;ThickB;0.93;93;5;0.44;0.05;2;1.95;0.489632;0.45535776;0.2335168
ECB;SL;ThickB;0.89;89;6;0.33;0.05;2;1.95;0.489632;0.43577248;0.223473067
ECB;SL;ThickB;0.86;86;7;0.22;0.05;2;1.95;0.489632;0.42108352;0.215940267
ECB;SL;ThickB;0.8;80;8;0.11;0.05;2;1.95;0.489632;0.3917056;0.200874667
ThickB;SL;ThickB;0.91;91;1;0.89;0.05;2;1.95;0.489632;0.44556512;0.228494933
ThickB;SL;ThickB;0.82;82;2;0.78;0.05;2;1.95;0.489632;0.40149824;0.205896533
ThickB;SL;ThickB;0.73;73;3;0.67;0.05;2;1.95;0.489632;0.35743136;0.183298133
ThickB;SL;ThickB;0.64;64;4;0.56;0.05;2;1.95;0.489632;0.31336448;0.160699733
ThickB;SL;ThickB;0.54;54;5;0.44;0.05;2;1.95;0.489632;0.26440128;0.1355904
ThickB;SL;ThickB;0.44;44;6;0.33;0.05;2;1.95;0.489632;0.21543808;0.110481067
ThickB;SL;ThickB;0.34;34;7;0.22;0.05;2;1.95;0.489632;0.16647488;0.085371733
ThickB;SL;ThickB;0.22;22;8;0.11;0.05;2;1.95;0.489632;0.10771904;0.055240533
ECC;SL;ThickB;1.01;101;1;0.89;0.05;2;1.95;0.489632;0.49452832;0.253604267
ECC;SL;ThickB;1;100;2;0.78;0.05;2;1.95;0.489632;0.489632;0.251093333
ECC;SL;ThickB;1;100;3;0.67;0.05;2;1.95;0.489632;0.489632;0.251093333
ECC;SL;ThickB;0.99;99;4;0.56;0.05;2;1.95;0.489632;0.48473568;0.2485824
ECC;SL;ThickB;0.97;97;5;0.44;0.05;2;1.95;0.489632;0.47494304;0.243560533
ECC;SL;ThickB;0.96;96;6;0.33;0.05;2;1.95;0.489632;0.47004672;0.2410496
ECC;SL;ThickB;0.92;92;7;0.22;0.05;2;1.95;0.489632;0.45046144;0.231005867
ECC;SL;ThickB;0.91;91;8;0.11;0.05;2;1.95;0.489632;0.44556512;0.228494933
ECA;SL;ECC;1;100;1;0.89;1;100;99;1.508747;1.508747;0.015239869
ECA;SL;ECC;1.02;102;2;0.78;1;100;99;1.508747;1.53892194;0.015544666
ECA;SL;ECC;1.02;102;3;0.67;1;100;99;1.508747;1.53892194;0.015544666
ECA;SL;ECC;1.02;102;4;0.56;1;100;99;1.508747;1.53892194;0.015544666
ECA;SL;ECC;1.05;105;5;0.44;1;100;99;1.508747;1.58418435;0.016001862
